file_off	va	section	xref	len	text
0xd25d0	0x4d41d0	.data	0	10	Overwrite?
0xd25dc	0x4d41dc	.data	1	7	Message
0xd25e8	0x4d41e8	.data	1	7	s%s.tst
0xd2650	0x4d4250	.data	1	23	C:\Pacgen\src\mapedit.c
0xd2668	0x4d4268	.data	1	23	C:\Pacgen\src\mapedit.c
0xd26b8	0x4d42b8	.data	1	23	C:\Pacgen\src\mapedit.c
0xd26f4	0x4d42f4	.data	1	4	%s%s
0xd26fc	0x4d42fc	.data	1	23	C:\Pacgen\src\mapedit.c
0xd2748	0x4d4348	.data	1	14	%smaps\s%s.tst
0xd275c	0x4d435c	.data	1	7	s%s.tst
0xd2788	0x4d4388	.data	1	42	%d entered for map width. Is this correct?
0xd27b4	0x4d43b4	.data	1	15	Odd settings...
0xd27c4	0x4d43c4	.data	1	43	%d entered for map height. Is this correct?
0xd27f0	0x4d43f0	.data	1	15	Odd settings...
0xd2800	0x4d4400	.data	1	23	C:\Pacgen\src\mapedit.c
0xd2818	0x4d4418	.data	1	44	Place old X origin at what new even X (0-%d)
0xd2848	0x4d4448	.data	1	45	Place new X origin at what old even X (0-%d)?
0xd2878	0x4d4478	.data	1	40	Place old Y origin at what new Y (0-%d)?
0xd28a4	0x4d44a4	.data	1	40	Place new Y origin at what old Y (0-%d)?
0xd28d0	0x4d44d0	.data	1	23	C:\Pacgen\src\mapedit.c
0xd28ec	0x4d44ec	.data	1	29	Click on hex to place geo in.
0xd290c	0x4d450c	.data	1	23	C:\Pacgen\src\mapedit.c
0xd294d	0x4d454d	.data	0	33	Must be divisible by a 12x12 map.
0xd2970	0x4d4570	.data	1	9	Place Geo
0xd297c	0x4d457c	.data	1	15	Place Geo Here?
0xd2990	0x4d4590	.data	1	29	Geo wrongSize. Press any key.
0xd29b0	0x4d45b0	.data	1	23	C:\Pacgen\src\mapedit.c
0xd29c8	0x4d45c8	.data	1	34	Couldn't allocate mem for geo map.
0xd2a02	0x4d4602	.data	0	31	Geo's cannot have text strings.
0xd2a24	0x4d4624	.data	1	23	C:\Pacgen\src\mapedit.c
0xd2a3c	0x4d463c	.data	1	13	Geo placement
0xd2a4c	0x4d464c	.data	1	16	Place this Geo ?
0xd2a60	0x4d4660	.data	1	23	C:\Pacgen\src\mapedit.c
0xd2a78	0x4d4678	.data	1	19	Geo doesn't exist. 
0xd2a8c	0x4d468c	.data	1	17	Edit Hex (%d, %d)
0xd2aa0	0x4d46a0	.data	1	9	MassEdit 
0xd2ae4	0x4d46e4	.data	1	25	Too many terrain strings.
0xd2b00	0x4d4700	.data	1	5	Error
0xd2b08	0x4d4708	.data	1	8	File: %s
0xd2b14	0x4d4714	.data	1	12	Size: %d, %d
0xd2b24	0x4d4724	.data	1	8	Mode: %s
0xd2b30	0x4d4730	.data	1	8	Type: %s
0xd2b3c	0x4d473c	.data	1	17	Save Terrain ID's
0xd2b50	0x4d4750	.data	1	49	Would you like to save all tile terrain ID files?
0xd2b84	0x4d4784	.data	1	4	.tnm
0xd2c50	0x4d4850	.data	1	13	t_%s_%c%c.til
0xd2c60	0x4d4860	.data	1	23	C:\Pacgen\src\mapedit.c
0xd2ca0	0x4d48a0	.data	1	13	s_%s_%c%c.til
0xd2cb0	0x4d48b0	.data	1	23	C:\Pacgen\src\mapedit.c
0xd2d04	0x4d4904	.data	1	42	Enter island range modifier (currently:%d)
0xd2d68	0x4d4968	.data	1	20	C:\Pacgen\src\draw.c
0xd2d80	0x4d4980	.data	1	20	C:\Pacgen\src\draw.c
0xd2d9c	0x4d499c	.data	1	20	C:\Pacgen\src\draw.c
0xd2db4	0x4d49b4	.data	1	20	C:\Pacgen\src\draw.c
0xd2dcc	0x4d49cc	.data	1	20	C:\Pacgen\src\draw.c
0xd2de4	0x4d49e4	.data	1	20	C:\Pacgen\src\draw.c
0xd2e00	0x4d4a00	.data	1	20	C:\Pacgen\src\draw.c
0xd2e1c	0x4d4a1c	.data	1	20	C:\Pacgen\src\draw.c
0xd2e34	0x4d4a34	.data	1	20	C:\Pacgen\src\draw.c
0xd2e4c	0x4d4a4c	.data	1	20	C:\Pacgen\src\draw.c
0xd2e6c	0x4d4a6c	.data	1	20	C:\Pacgen\src\draw.c
0xd2e84	0x4d4a84	.data	1	20	C:\Pacgen\src\draw.c
0xd2e9c	0x4d4a9c	.data	1	20	C:\Pacgen\src\draw.c
0xd2eb8	0x4d4ab8	.data	1	20	C:\Pacgen\src\draw.c
0xd2ed4	0x4d4ad4	.data	1	20	C:\Pacgen\src\draw.c
0xd2ef0	0x4d4af0	.data	1	20	C:\Pacgen\src\draw.c
0xd2f7c	0x4d4b7c	.data	1	20	C:\Pacgen\src\draw.c
0xd2fd8	0x4d4bd8	.data	1	24	C:\Pacgen\Src\listpick.c
0xd3024	0x4d4c24	.data	1	23	C:\Pacgen\src\gamescr.c
0xd303c	0x4d4c3c	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3054	0x4d4c54	.data	1	4	%02d
0xd305c	0x4d4c5c	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3074	0x4d4c74	.data	1	4	%02d
0xd30b4	0x4d4cb4	.data	1	23	C:\Pacgen\src\gamescr.c
0xd30cc	0x4d4ccc	.data	1	23	C:\Pacgen\src\gamescr.c
0xd30e4	0x4d4ce4	.data	1	5	%-10s
0xd30f0	0x4d4cf0	.data	1	6	%s %d 
0xd30f8	0x4d4cf8	.data	1	5	%s %d
0xd3100	0x4d4d00	.data	1	5	%s %d
0xd3108	0x4d4d08	.data	1	5	%-10s
0xd3118	0x4d4d18	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3130	0x4d4d30	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3148	0x4d4d48	.data	1	5	%-10s
0xd3154	0x4d4d54	.data	1	6	%s %d 
0xd315c	0x4d4d5c	.data	1	5	%s %d
0xd3164	0x4d4d64	.data	1	5	%s %d
0xd316c	0x4d4d6c	.data	1	5	%-10s
0xd317c	0x4d4d7c	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3194	0x4d4d94	.data	1	23	C:\Pacgen\src\gamescr.c
0xd31ac	0x4d4dac	.data	1	23	C:\Pacgen\src\gamescr.c
0xd31c4	0x4d4dc4	.data	1	23	C:\Pacgen\src\gamescr.c
0xd31dc	0x4d4ddc	.data	1	23	C:\Pacgen\src\gamescr.c
0xd31f4	0x4d4df4	.data	1	23	C:\Pacgen\src\gamescr.c
0xd320c	0x4d4e0c	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3224	0x4d4e24	.data	1	23	C:\Pacgen\src\gamescr.c
0xd323c	0x4d4e3c	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3254	0x4d4e54	.data	2	23	C:\Pacgen\src\gamescr.c
0xd326c	0x4d4e6c	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3284	0x4d4e84	.data	1	23	C:\Pacgen\src\gamescr.c
0xd329c	0x4d4e9c	.data	1	23	C:\Pacgen\src\gamescr.c
0xd32b4	0x4d4eb4	.data	1	23	C:\Pacgen\src\gamescr.c
0xd32cc	0x4d4ecc	.data	1	23	C:\Pacgen\src\gamescr.c
0xd32e4	0x4d4ee4	.data	1	23	C:\Pacgen\src\gamescr.c
0xd32fc	0x4d4efc	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3314	0x4d4f14	.data	1	23	C:\Pacgen\src\gamescr.c
0xd332c	0x4d4f2c	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3344	0x4d4f44	.data	1	23	C:\Pacgen\src\gamescr.c
0xd335c	0x4d4f5c	.data	1	4	%s, 
0xd3368	0x4d4f68	.data	1	4	%s  
0xd3370	0x4d4f70	.data	1	8	(%d %s) 
0xd337c	0x4d4f7c	.data	1	6	%d %s 
0xd3384	0x4d4f84	.data	1	6	%d %s 
0xd338c	0x4d4f8c	.data	1	9	 (%d,%d) 
0xd3398	0x4d4f98	.data	1	5	%s %d
0xd33a0	0x4d4fa0	.data	1	10	%s %d (%d)
0xd3414	0x4d5014	.data	1	23	C:\Pacgen\src\gamescr.c
0xd342c	0x4d502c	.data	1	8	film.shp
0xd3438	0x4d5038	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3450	0x4d5050	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3468	0x4d5068	.data	1	23	C:\Pacgen\src\gamescr.c
0xd34a8	0x4d50a8	.data	1	23	C:\Pacgen\src\gamescr.c
0xd34c0	0x4d50c0	.data	1	23	C:\Pacgen\src\gamescr.c
0xd34d8	0x4d50d8	.data	1	23	C:\Pacgen\src\gamescr.c
0xd34f0	0x4d50f0	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3508	0x4d5108	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3520	0x4d5120	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3538	0x4d5138	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3550	0x4d5150	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3568	0x4d5168	.data	1	4	%02d
0xd3570	0x4d5170	.data	1	23	C:\Pacgen\src\gamescr.c
0xd3588	0x4d5188	.data	1	4	%02d
0xd35d0	0x4d51d0	.data	1	23	C:\Pacgen\src\screens.c
0xd3610	0x4d5210	.data	1	23	C:\Pacgen\src\screens.c
0xd366c	0x4d526c	.data	1	8	main.Pal
0xd3678	0x4d5278	.data	1	9	menu2.pal
0xd3684	0x4d5284	.data	1	7	day.pal
0xd36e8	0x4d52e8	.data	1	23	C:\Pacgen\src\screens.c
0xd3700	0x4d5300	.data	1	38	Looking for %s in a PFP.Can't find it!
0xd3728	0x4d5328	.data	1	23	C:\Pacgen\src\screens.c
0xd378c	0x4d538c	.data	1	23	C:\Pacgen\Src\transit.c
0xd37bc	0x4d53bc	.data	1	8	%02d.smk
0xd37c8	0x4d53c8	.data	1	12	lose-USA.smk
0xd37d8	0x4d53d8	.data	1	11	win-USA.smk
0xd37e4	0x4d53e4	.data	1	12	lose-jpn.smk
0xd37f4	0x4d53f4	.data	1	11	win-jpn.smk
0xd3800	0x4d5400	.data	1	23	C:\Pacgen\Src\transit.c
0xd3818	0x4d5418	.data	1	11	transit.shp
0xd3824	0x4d5424	.data	1	23	C:\Pacgen\Src\transit.c
0xd383c	0x4d543c	.data	1	11	transit.shp
0xd3878	0x4d5478	.data	1	12	transitj.shp
0xd3888	0x4d5488	.data	1	12	Transitu.shp
0xd3898	0x4d5498	.data	1	23	C:\Pacgen\Src\transit.c
0xd38dc	0x4d54dc	.data	1	23	C:\Pacgen\Src\transit.c
0xd38f4	0x4d54f4	.data	1	13	dbrf_%02d.txt
0xd3904	0x4d5504	.data	1	13	vo_l_%02d.mus
0xd3914	0x4d5514	.data	1	11	c_m_usa.txt
0xd3920	0x4d5520	.data	1	11	c_m_usa.mus
0xd392c	0x4d552c	.data	1	11	c_m_jpn.txt
0xd3938	0x4d5538	.data	1	11	c_m_jpn.mus
0xd3944	0x4d5544	.data	1	11	c_d_usa.txt
0xd3950	0x4d5550	.data	1	11	c_d_usa.mus
0xd395c	0x4d555c	.data	1	11	c_d_jpn.txt
0xd3968	0x4d5568	.data	1	11	c_d_jpn.mus
0xd3974	0x4d5574	.data	1	11	cbrf_00.txt
0xd3980	0x4d5580	.data	1	11	vo_c_00.mus
0xd398c	0x4d558c	.data	1	11	cbrf_01.txt
0xd3998	0x4d5598	.data	1	11	vo_c_01.mus
0xd39a4	0x4d55a4	.data	1	11	cbrf_02.txt
0xd39b0	0x4d55b0	.data	1	11	vo_c_02.mus
0xd39bc	0x4d55bc	.data	1	11	cbrf_03.txt
0xd39c8	0x4d55c8	.data	1	11	vo_c_03.mus
0xd39d4	0x4d55d4	.data	1	12	brf_%02d.txt
0xd39e4	0x4d55e4	.data	1	13	vo_i_%02d.mus
0xd39f4	0x4d55f4	.data	1	12	brf_%02d.txt
0xd3a04	0x4d5604	.data	1	13	vo_i_%02d.mus
0xd3a18	0x4d5618	.data	1	23	C:\Pacgen\Src\transit.c
0xd3a30	0x4d5630	.data	1	23	C:\Pacgen\Src\transit.c
0xd3a48	0x4d5648	.data	1	23	C:\Pacgen\Src\transit.c
0xd3a60	0x4d5660	.data	1	23	C:\Pacgen\Src\transit.c
0xd3a9c	0x4d569c	.data	1	23	C:\Pacgen\Src\transit.c
0xd3ab4	0x4d56b4	.data	1	23	C:\Pacgen\Src\transit.c
0xd3acc	0x4d56cc	.data	1	23	C:\Pacgen\Src\transit.c
0xd3ae4	0x4d56e4	.data	1	23	C:\Pacgen\Src\transit.c
0xd3afc	0x4d56fc	.data	1	23	C:\Pacgen\Src\transit.c
0xd3b14	0x4d5714	.data	1	23	C:\Pacgen\Src\transit.c
0xd3b2c	0x4d572c	.data	1	13	%sSCEN\%s.scn
0xd3b64	0x4d5764	.data	1	8	Later...
0xd3b78	0x4d5778	.data	1	24	C:\Pacgen\src\purchase.c
0xd3b94	0x4d5794	.data	1	24	C:\Pacgen\src\purchase.c
0xd3bb8	0x4d57b8	.data	1	24	C:\Pacgen\src\purchase.c
